,Algeria,Angola (millions),Ecuador (millions),Indonesia,Iran,Kuwait (millions),Nigeria,Qatar (millions),Saudi Arabia,United Arab Emirates,Venezuela,Brent
1992,1074.7,0.0,12655.9,282395.0,5826.5,5826.5,532.6,27832.0,510.5,130.0,4.1,19.32
1993,1189.7,0.0,15153.0,329776.0,7230.6,7230.6,683.9,26050.0,494.9,130.4,5.5,17.01
1994,1487.4,0.6,18661.7,382219.7,7379.8,7379.8,899.9,26843.0,503.1,134.6,8.7,15.86
1995,2005.0,13.7,20287.7,454514.1,8113.9,8113.9,1933.2,29622.0,533.5,147.0,13.7,17.02
1996,2570.0,835.5,21482.8,532568.0,9429.1,9429.1,2702.7,32976.0,590.8,163.8,29.4,20.64
1997,2780.2,1751.8,23714.8,627695.4,9206.7,9206.7,2802.0,41124.0,617.9,181.2,41.9,19.11
1998,2830.5,2531.8,23290.0,955753.5,7906.5,7906.5,2708.4,37330.0,546.7,170.7,50.0,12.76
1999,3238.2,17171.0,16895.7,1099731.6,9169.7,9169.7,3194.0,45111.0,603.6,202.7,59.3,17.9
2000,4123.5,91666.1,18318.6,1389769.9,11570.3,11570.3,4582.1,64646.0,706.7,259.3,79.7,28.66
2001,4227.1,197110.8,24468.3,1646322.0,10700.0,10700.0,4725.1,63840.0,686.3,379.4,89.0,24.46
2002,4522.8,497625.9,28549.0,1821833.4,11590.0,11590.0,6912.4,70484.0,707.1,403.3,107.8,24.99
2003,5252.3,1041225.5,32432.9,2013674.6,14267.2,14267.2,8487.0,85663.0,804.7,456.7,134.2,28.85
2004,6149.1,1652049.5,36591.7,2295826.2,17516.7,17516.7,11411.1,115512.0,970.3,542.9,212.7,38.26
2005,7562.0,3222352.0,41507.1,2774281.1,23593.2,23593.2,14572.2,162091.0,1230.8,663.3,304.1,54.57
2006,8501.6,4209762.0,46802.0,3339216.8,29469.5,29469.5,18564.8,221610.0,1411.5,815.7,393.9,65.16
2007,9352.9,5006335.0,51007.8,3950893.2,32580.6,32580.6,20657.3,290152.0,1558.8,947.2,494.6,72.44
2008,11043.7,6643353.0,61762.6,4948688.4,39619.8,39619.8,24296.3,419583.0,1949.2,1158.6,677.6,96.94
2009,9968.0,5583531.1,62519.7,5606203.4,30496.2,30496.2,24794.2,355986.0,1609.1,931.2,707.3,61.74
2010,11991.6,7701651.0,69555.4,6864133.1,33079.1,33079.1,55469.4,455445.0,1975.5,1050.5,1016.8,79.61
2011,14588.5,10500942.0,79276.7,7831726.0,42511.6,42511.6,63713.4,610702.0,2510.7,1280.0,1357.5,111.26
2012,16208.7,12224950.0,87924.5,8615704.5,48722.2,48722.2,72599.6,680074.0,2752.3,1371.4,1635.5,111.63
2013,16650.2,13195004.0,94776.2,9546134.0,49392.1,49392.1,81010.0,723368.6,2791.3,1422.0,2245.8,108.56
2014,17242.5,14323859.2,100917.4,10565817.3,46285.0,46285.0,90137.0,750657.5,2826.9,1467.0,3031.2,98.97
2015,16591.9,13824174.0,100871.8,11540789.8,34314.6,34314.6,95177.7,599294.9,2422.5,1359.9,6025.3,52.32
